0.0000,0.1800,0.0000,0.4000,0.2000,1.0000
0.4600,0.1800,0.0000,0.7000,0.2000,1.0000
0.4000,0.1800,0.0000,0.4600,0.2000,0.1400
0.4000,0.1800,0.1600,0.4600,0.2000,1.0000
0.3000,0.3300,0.0000,0.4000,0.3500,1.0000
0.4600,0.3300,0.0000,1.0000,0.3500,1.0000
0.4000,0.3300,0.0000,0.4600,0.3500,0.2900
0.4000,0.3300,0.3100,0.4600,0.3500,1.0000
0.0000,0.4800,0.0000,0.4000,0.5000,1.0000
0.4600,0.4800,0.0000,0.7000,0.5000,1.0000
0.4000,0.4800,0.0000,0.4600,0.5000,0.4600
0.4000,0.4800,0.4800,0.4600,0.5000,1.0000
0.3000,0.6300,0.0000,0.4000,0.6500,1.0000
0.4600,0.6300,0.0000,1.0000,0.6500,1.0000
0.4000,0.6300,0.0000,0.4600,0.6500,0.6200
0.4000,0.6300,0.6400,0.4600,0.6500,1.0000
0.0000,0.7800,0.0000,0.4000,0.8000,1.0000
0.4600,0.7800,0.0000,0.7000,0.8000,1.0000
0.4000,0.7800,0.0000,0.4600,0.8000,0.7800
0.4000,0.7800,0.8000,0.4600,0.8000,1.0000
